,playlist_name,playlist_id,name,album_name,artist,id,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,y
15,Sad Songs For The Boys❤️‍🩹💔,5wxOPjYjARkhfaEtD7LItO,Love Is a Drug,Thbk.,Papithbk,0vQM29chWYNTrqPoirulxI,68,False,0.841,0.406,7,-12.389,1,0.358,0.791,0.0,0.0872,0.384,110.061,97907,4,0
16,Yuvan Sad Songs💔,1YTnmmVJDVWeqkjI8eO3YM,Manasae Manasae,April Madhathil (Original Motion Picture Soundtrack),Yuvan Shankar Raja,5S1saVRzd6CxpTCCRYsGIg,32,False,0.755,0.482,8,-8.645,1,0.0446,0.312,5.18e-05,0.118,0.205,105.023,285987,4,0
17,Sad Songs🌌,74I50qE8OA4VEGZvX2BMFB,Never Be Alright,Never Be Alright,Seon,6zJffE1wHyAu5WwNYwt0VI,64,True,0.835,0.283,7,-10.121,0,0.0781,0.625,3.4e-06,0.102,0.282,86.983,168281,4,0
18,sad songs to scream while driving ,029YlheFHxopuwLl6ITlXs,"Healing Incantation - From ""Tangled""/Soundtrack Version",Tangled,Mandy Moore,75VVIB2x1h6BfxD2PqOO57,59,False,0.366,0.0279,11,-22.55,1,0.0461,0.92,0.0,0.109,0.35,167.751,54440,3,0
19,sad songs to scream while driving ,029YlheFHxopuwLl6ITlXs,I Volunteer,Love Songs,Collin Raye,6U6wNivVIpYbH12OcoCDK5,24,False,0.626,0.376,0,-9.279,1,0.0245,0.573,0.0,0.078,0.151,105.949,189200,4,0
20,sad songs :(,0uVeGcLzYnzdIm23yve8K8,I Don't Fuck With You,Dark Sky Paradise (Deluxe),Big Sean,4w7yrP4RAeeyhfG9nJqQvS,0,True,0.823,0.733,1,-5.474,1,0.0628,0.0349,0.0,0.324,0.397,97.972,284387,4,0
21,sad Korean songs,0oX1LhMuCp3uCJyuNwgLdF,똑같은 날,수상한 파트너 Pt.3 (Original Television Soundtrack),Ra.D,5ezTiILBiVaAXkkdKzCsio,0,False,0.486,0.365,4,-9.057,1,0.0439,0.76,0.00254,0.239,0.233,139.757,241923,4,0
22,Sad songs playlist that will make you cry 💔,4PWQV9dQpT7As9OTZBqrR8,Say You Hate Me,Perceptions,Crsd,5mvUvLRnveCmezttqsrjwn,54,False,0.838,0.404,2,-13.45,1,0.037,0.61,0.000444,0.069,0.478,130.006,158798,4,0
23,sad songs to scream in the car,0v7ALSB6wNw5uLdis40yKs,Don't Tell Me,Don't Tell Me,Ruel,1MzaBCyq0TX0ScxSmG6Cd1,52,False,0.565,0.324,4,-9.137,0,0.0342,0.565,2.17e-05,0.381,0.139,77.495,241625,3,0
24,sad songs to cry to at 2am,38BAFacbwA5kGf7iqcW7Wj,Fear,A Different Age,Current Joys,6vxlUYyRVoXtgGNS9ciLBC,0,False,0.716,0.447,2,-8.314,1,0.0387,0.7,0.429,0.0855,0.517,93.956,216540,4,0
25,sad songs to scream in the car,0v7ALSB6wNw5uLdis40yKs,Shy,Shy - EP,Jai Waetford,3nivloq0Lqd2CYWHTgAlwU,61,False,0.541,0.518,7,-4.12,1,0.0451,0.272,0.0,0.0835,0.305,75.134,187640,4,0
26,sad slowed songs to sleep to,1MNjeV3vCsk4TEQ2tiKQss,La Vie En Rose,La Vie En Rose,Emily Watts,2BAsBkA10fTRZhF5iMs0Dh,68,False,0.419,0.0842,6,-17.542,1,0.0341,0.957,0.0,0.285,0.246,88.278,157683,4,0
27,Sad Songs,37i9dQZF1DX7qK8ma5wgG1,that way,all the things i never said,Tate McRae,7l97ElWmIdVHWUaOeeU5ZC,82,False,0.453,0.383,0,-11.015,1,0.163,0.728,0.0,0.387,0.333,105.029,175027,4,0
28,Sad Songs 😢 ,7ABD15iASBIpPP5uJ5awvq,Stars,xx,The xx,6qlfzOpeLcdoSxrgbkR0Zi,0,False,0.676,0.2,9,-17.735,0,0.0282,0.826,0.0289,0.144,0.176,104.016,262640,4,0
29,sad songs to cry to at 3am🙇🏻‍♂️,2wrVuCkPOkh1jHp8qI8e0z,MISTAKES,I DIGRESS,Steven Xia,2oW2fHVySMw0qfqbXmsq6f,27,False,0.785,0.646,1,-7.852,0,0.122,0.14,0.000323,0.16,0.593,113.045,126015,5,0
30,sad songs to scream while driving ,029YlheFHxopuwLl6ITlXs,Love Don't Lie,Pardon Me,Aha Gazelle,1FHaXmDF9zjY3xOImPIDeE,33,False,0.711,0.636,7,-6.309,0,0.0362,0.0443,0.0,0.147,0.379,94.918,103889,4,0
31,Sad Songs For The Boys❤️‍🩹💔,5wxOPjYjARkhfaEtD7LItO,hollow,i don't care,POORSTACY,6L3Zo97zk0I040HDM4fQEp,50,True,0.768,0.618,5,-6.043,0,0.222,0.111,0.0,0.125,0.707,81.014,131088,4,0
32,Sad Songs For The Boys❤️‍🩹💔,5wxOPjYjARkhfaEtD7LItO,Sugar Wraith,beerbongs & bentleys,Post Malone,0MrRAUcB8AZiB9ue2VOBYe,67,True,0.606,0.775,5,-4.269,0,0.0671,0.262,0.0,0.1,0.307,164.02,228147,4,0
33,songs to scream in the car,37i9dQZF1DX4mWCZw6qYIw,rubberband,rubberband,Tate McRae,05ABOPiW13nqIedJfqmfPM,68,False,0.64,0.593,10,-6.068,1,0.0431,0.32,0.0,0.104,0.432,155.08,147713,4,0
34,sad songs to scream in the car,0v7ALSB6wNw5uLdis40yKs,Reflection,Still Lost,Sik World,3AaHVL2PTTN8AAbA48WMo8,57,True,0.802,0.566,11,-9.816,0,0.145,0.539,4.09e-06,0.134,0.153,140.099,222979,4,0
35,Sad Songs,37i9dQZF1DX7qK8ma5wgG1,Seven,Seven,Claudia Valentina,7FRICngbPiyTPEKF7wRC9G,57,True,0.801,0.143,7,-10.698,0,0.0475,0.865,0.0,0.132,0.562,119.891,223827,4,0
36,Sad Songs😔,54ozEbxQMa0OeozoSoRvcL,Velvet,Sis.,KIRBY,67NvBpt8ZEJKGs9MCIUy4x,44,False,0.657,0.436,10,-5.758,1,0.051,0.775,0.00855,0.203,0.24,73.967,216523,3,0
37,Sad Songs For The Boys❤️‍🩹💔,5wxOPjYjARkhfaEtD7LItO,Mirror,Tha Carter IV (Deluxe),Lil Wayne,05pdoheuKPSotkjMgIVX6I,35,True,0.331,0.622,5,-7.291,0,0.092,0.858,0.0,0.104,0.388,64.468,228093,3,0
38,sad songs to scream while driving ,029YlheFHxopuwLl6ITlXs,snowflake (feat. Jaden & Sarcastic Sounds),tell me your feelings and i won't tell you mine,Powfu,7KW1AtQKFToSoF1kmyk2wE,70,True,0.419,0.408,9,-10.899,0,0.25,0.95,0.0,0.35,0.502,62.829,187500,4,0
39,Sad songs for girls ❤️ (Crying music and depressing music),2V54AkhxCDLeORKeBtDZGr,Creep,Creep,ORYL,53rCuDGlZyMfSNEYmUx7gg,53,True,0.504,0.326,6,-12.361,1,0.0592,0.673,0.0217,0.32,0.103,106.233,132271,4,0
40,sad songs to cry to at 2am,38BAFacbwA5kGf7iqcW7Wj,Space Song,Depression Cherry,Beach House,2FWMvlEJezf5xpthR5JfPv,0,False,0.509,0.793,0,-7.107,0,0.0293,0.221,0.127,0.144,0.625,147.065,320467,4,0
41,Sad Songs for crying hours and heartbreak 💔,0tLAnPmh7VpPKBu8v6pZXd,Worth It,Worth It,Abby Ann,5fMaCmA09s0F57FkITpcOV,21,False,0.557,0.484,5,-8.102,1,0.0249,0.404,0.0157,0.257,0.272,99.974,250606,4,0
42,sad lofi songs,1nVWPImtwYUYdvCTPHTtpJ,Jazz Club,YorWaves,WaveWalker,40IKvIBKWBK5AwvUYmnkNi,43,False,0.395,0.47,6,-9.668,1,0.116,0.317,0.957,0.103,0.0503,82.093,69398,4,0
43,sad songs for sad nights ,4yXfnhz0BReoVfwwYRtPBm,Neptune,Atlas: I,Sleeping At Last,1RgiH5ucgoEWDKmGyA5drQ,59,False,0.602,0.371,9,-11.575,0,0.0322,0.23,0.0,0.0887,0.211,120.01,280371,4,0
44,sad songs 2021 😢 crying and depressing music,3c0Nv5CY6TIaRszlTZbUFk,Cold Cities,"Ain't Right, Ain't Wrong",Hei$t,3pQVJZLuZFJSb7IRNvSHr1,29,True,0.771,0.524,8,-7.992,0,0.106,0.209,0.0,0.126,0.282,119.979,211069,4,0
45,Heartbreak Jazz,37i9dQZF1DX70dqoLSWJrU,Darn That Dream - Remastered 2015,One Flight Up (Remastered 2015),Dexter Gordon,1Owq03yMItfgZMpt9CSe80,42,False,0.428,0.0307,7,-21.667,1,0.0407,0.892,0.262,0.126,0.272,85.424,451407,3,0
46,Sad Songs,37i9dQZF1DX7qK8ma5wgG1,Shouldn't Be Thinking About You,Songs They Told Me Weren't Singles - Part 1,Jamie Grey,3Inj1eHMvEhwUFej1LYR0d,53,True,0.708,0.298,6,-8.704,1,0.0483,0.887,0.0,0.101,0.399,86.838,171724,4,0
47,Sad songs to make you cry,16hBhAXKivud4TBL5LpBYM,Suicidal,Melly vs. Melvin,YNW Melly,1iSqfoUFnQwV0QW1EfUit8,78,True,0.735,0.369,9,-9.682,0,0.0688,0.334,0.0,0.126,0.235,140.004,222997,4,0
48,Sad songs everyone knows 2021 𓃰,6hh1TCrTpmz4wyinWodLzk,Class Fight,K-12,Melanie Martinez,37pf8jSeCGlzgQPIfVHO6X,68,True,0.767,0.707,6,-8.444,1,0.0489,0.42,5.16e-05,0.298,0.772,92.015,161065,4,0
49,sad songs to scream while driving ,029YlheFHxopuwLl6ITlXs,Forever,Forever,ilyTOMMY,7uHRKSQ9WIlBBuBY7BHcbq,75,False,0.613,0.339,5,-14.908,0,0.135,0.678,0.0,0.166,0.292,106.582,108696,5,0
50,sad songs for sad nights ,4yXfnhz0BReoVfwwYRtPBm,Dreams (Time),Diamonds,Rashad Hayes,5tg8u4nt59T0HjzsqFZRKx,31,False,0.812,0.174,7,-7.5,1,0.0806,0.77,0.942,0.0786,0.677,92.016,122934,4,0
51,Sad Hindi Songs - a little broken 🥺,4YOfhHpjPB0tq29NPpDY3F,Tera Chehra,Tera Chehra,Adnan Sami,14uXhHNINQqjl2hngD21s9,58,False,0.646,0.562,11,-9.157,0,0.0331,0.523,0.0021,0.104,0.488,100.0,392526,1,0
52,sad songs 2021 😢 crying and depressing music,3c0Nv5CY6TIaRszlTZbUFk,I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,Clinton Kane,1is8gU4RVcN4J8xItxWoOY,87,False,0.422,0.34,0,-6.577,1,0.0351,0.877,1.77e-05,0.149,0.223,77.213,204094,4,0
53,sad songs 2021 😢 crying and depressing music,3c0Nv5CY6TIaRszlTZbUFk,If I,Hopeless Memories,Robbie Vonn,0sjp3DNa7Km7BMR3pAnGr7,17,False,0.283,0.327,9,-13.15,0,0.0343,0.546,3.19e-05,0.255,0.0673,175.75,196000,3,0
54,sad Korean songs,0oX1LhMuCp3uCJyuNwgLdF,Writing Our Stories,"Chicago Typewriter (Original Television Soundtrack), Pt. 3",SG Wannabe,68ewXJeLev3bmJxtLXlQHM,43,False,0.521,0.242,0,-10.69,1,0.0398,0.864,0.0,0.303,0.485,137.619,239050,4,0
55,sad songs for sad breakups,5FeHyyiioSObGs9mIVqW5b,too good,too good,corner club,57LW7mJoPCgfnpVb3VHAuc,29,False,0.347,0.243,5,-10.421,1,0.0378,0.956,0.0,0.0971,0.346,183.415,195036,3,0
56,Sad songs playlist that will make you cry 💔,4PWQV9dQpT7As9OTZBqrR8,Broken (with Lil Skies & Noah Cyrus),Broken,Lund,14ca1ksf8GSu1RgeJaFZDF,54,True,0.76,0.538,0,-3.54,1,0.0345,0.163,7.76e-06,0.1,0.138,134.005,207080,4,0
57,Sad songs for girls ❤️ (Crying music and depressing music),2V54AkhxCDLeORKeBtDZGr,Never Say,Never Say,Meridian,7BqQnSmCtCtsNPlTUT6L5h,34,False,0.727,0.268,2,-11.649,1,0.0937,0.757,0.0037,0.109,0.131,123.99,207097,4,0
58,Sad Songs,37i9dQZF1DX7qK8ma5wgG1,Love is Pain,Optimist,FINNEAS,2tJUcBxiQEYSCzC3BdIOk8,69,False,0.609,0.141,9,-15.33,1,0.0394,0.927,0.000104,0.0923,0.107,78.233,224279,4,0
59,sad songs to cry to at 2am,38BAFacbwA5kGf7iqcW7Wj,No More Wishing,No More Wishing,Hayley Taylor,1i98ikoJuCUG54YE6UadjN,38,False,0.503,0.456,1,-7.575,1,0.0245,0.0555,1.97e-06,0.144,0.224,76.019,239445,4,0
60,Sad Hindi Songs - a little broken 🥺,4YOfhHpjPB0tq29NPpDY3F,Laaree Chootee,Dhoom,Call,5N0bIQTnSVrDCSlKydMt3E,30,False,0.567,0.758,0,-6.564,1,0.0635,0.229,0.0,0.31,0.583,92.99,237308,4,0
61,sad songs 2021 😢 crying and depressing music,3c0Nv5CY6TIaRszlTZbUFk,everything i wanted,everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,83,False,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,0
62,Sad Songs 💔🙁,0eRlP0II1FgBst9JVnTvBr,Kung 'Di Rin Lang Ikaw,Kung 'Di Rin Lang Ikaw,December Avenue,2BgD4nRyx9EZ5o8YEnjRSV,66,False,0.502,0.482,4,-4.736,1,0.0288,0.161,0.0,0.187,0.132,133.894,267759,4,0
63,sad Korean songs,0oX1LhMuCp3uCJyuNwgLdF,Blue & Grey,BE,BTS,0n2moJpAEWHwaPYYjkzMDl,77,False,0.547,0.605,8,-6.755,1,0.0415,0.42,0.0,0.125,0.364,121.953,254950,4,0
64,sad songs to scream while driving ,029YlheFHxopuwLl6ITlXs,Happy U Broke My Heart,Happy U Broke My Heart,Wesley Saylor,4F4gDlZCwUhSZCUXTHBuNp,26,False,0.852,0.643,7,-7.235,1,0.046,0.188,0.0,0.0637,0.889,119.931,196000,4,0
65,sad songs :(,0uVeGcLzYnzdIm23yve8K8,Worthy Of You,Worthy Of You,Plested,0UkZ0epPTahsPgLXacC5EG,49,False,0.451,0.452,1,-9.363,0,0.0574,0.439,0.0,0.478,0.386,57.523,190619,4,0
66,Sad Songs 😢 ,7ABD15iASBIpPP5uJ5awvq,Constellations,In Between Dreams,Jack Johnson,3deZQXBY8CJFbrTc2PbU34,58,False,0.705,0.316,1,-12.64,1,0.0355,0.468,4.25e-05,0.117,0.443,122.012,201640,4,0
67,Sad Songs 💔🙁,0eRlP0II1FgBst9JVnTvBr,Nangangamba,Nangangamba,Zack Tabudlo,1dcNEEtODRVZEevQ20Cgmy,75,False,0.62,0.547,1,-6.772,1,0.0248,0.112,0.0,0.19,0.208,98.032,210355,4,0
68,Sad Songs For The Boys❤️‍🩹💔,5wxOPjYjARkhfaEtD7LItO,KILL CUPID,EAT YOUR HEART OUT,Dro Kenji,5p29DSBwxS4hStGKr7NCCO,66,True,0.77,0.58,4,-6.371,1,0.0461,0.0136,0.0,0.111,0.202,115.98,249475,4,0
69,sad songs 2021 😢 crying and depressing music,3c0Nv5CY6TIaRszlTZbUFk,Heavens,Heavens,Wandering With,3VEGBqXf14iWY6zLcavuYH,34,False,0.515,0.443,2,-7.585,0,0.028,0.486,0.000228,0.118,0.196,120.173,198613,4,0
70,sad songs to cry to at 2am,38BAFacbwA5kGf7iqcW7Wj,Treasure,Designer,Aldous Harding,2ap5bIL2vtaM1kgq1NO5f1,23,False,0.607,0.154,9,-12.44,0,0.0468,0.949,0.000823,0.0901,0.35,135.543,251520,4,0
71,sad songs to scream while driving ,029YlheFHxopuwLl6ITlXs,Easy,Easy,Lillian Hepler,3nyRWdbLh6gSembPFBvovm,59,False,0.739,0.471,0,-7.554,0,0.0751,0.632,0.0,0.346,0.594,106.989,191182,4,0
72,sad songs to scream in the car,0v7ALSB6wNw5uLdis40yKs,Certain Things (feat. Chasing Grace),James Arthur (Deluxe),James Arthur,5zvJELVKAnPkscGc5aLKJI,62,False,0.511,0.621,9,-8.751,1,0.123,0.471,9.72e-05,0.0893,0.266,129.885,233467,4,0
73,sad songs :(,0uVeGcLzYnzdIm23yve8K8,Don't Let Go,Don't Let Go,Sik World,2gjELujyj9OFVQZzS7lgJH,52,True,0.762,0.425,11,-10.131,1,0.0629,0.404,1.23e-06,0.111,0.0721,140.05,224333,4,0
74,sad indie songs for sad nights,61wCeISpu6SYd6EtLCqPW8,haunt me (x 3),dc snuff film / waste yrself,Teen Suicide,1QUMpZT7HG6sO3RiBu1LAJ,72,False,0.566,0.613,5,-10.118,1,0.0874,0.714,0.799,0.0848,0.219,110.886,165672,4,0
75,sad songs to cry to,70VaOHyjpsWcmA4gxosExZ,Nobody Cares,Nobody Cares,Kina,4CALLtGlZBwdpfQvMQvhH2,67,True,0.657,0.159,4,-15.618,0,0.0395,0.725,0.73,0.279,0.0833,100.018,175229,4,0
76,sad songs 2021 😢 crying and depressing music,3c0Nv5CY6TIaRszlTZbUFk,You Only Want Me When I'm Gone,You Only Want Me When I'm Gone,Jeffrey Chan,3xJp84FitIe2G8hKj34eAi,40,False,0.624,0.676,0,-4.816,1,0.0454,0.0345,0.169,0.0962,0.303,116.95,211283,4,0
77,sad songs,08HldIXYJL4HRRMTIR1fsq,Don't Get Me Wrong,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,4QGHin0gSqzPrPJhPU5gWn,57,False,0.57,0.324,4,-7.866,1,0.0374,0.837,0.0,0.109,0.137,79.858,213091,3,0
78,sad lofi songs,1nVWPImtwYUYdvCTPHTtpJ,Breeze,YorWaves,WaveWalker,2RI6Hh7izAUSu4vriWQVSR,46,False,0.649,0.309,4,-11.65,1,0.0463,0.129,0.798,0.2,0.41,134.092,106567,4,0
79,Sad Tamil Songs 🥀,6ybCs40CUSVISYNRoqtQAZ,Nee Paartha Vizhigal - The Touch of Love,3 (Original Motion Picture Soundtrack),Anirudh Ravichander,0xttqqTj7ZAGyVkfOYxQ4F,63,False,0.665,0.596,9,-6.969,0,0.0278,0.293,3.67e-05,0.247,0.644,110.055,264507,4,0
80,Sad songs telugu 😭,2iJLY4qvAy8PFs7VfofY4A,Kannuladha - The Kiss of Love,3 (Original Motion Picture Soundtrack),Anirudh Ravichander,1vnDu8pbmwz88G6RDugerQ,56,False,0.592,0.548,8,-6.483,0,0.0282,0.436,1.59e-05,0.296,0.583,109.946,206253,4,0
81,sad songs to cry to at 2am,38BAFacbwA5kGf7iqcW7Wj,Cherry Wine - Live,Hozier (Expanded Edition),Hozier,1C042FLYy7rP3MfnkOcnha,69,False,0.415,0.11,1,-14.901,1,0.0388,0.951,0.00236,0.0962,0.234,81.876,240147,4,0
82,sad songs :(,0uVeGcLzYnzdIm23yve8K8,Alexis,Trap Jack 2,Joey Trap,54yT3t8hSaJUvdHer3ZaB1,67,True,0.839,0.539,0,-9.238,1,0.0926,0.741,0.0,0.0966,0.645,124.921,83000,4,0
83,sad Korean songs,0oX1LhMuCp3uCJyuNwgLdF,Running Into Breakup,Brother Act.,BTOB,769ytfrvUiz4TbFspw90Ne,37,False,0.612,0.715,1,-5.999,1,0.0401,0.319,0.0,0.131,0.433,139.918,233953,4,0
84,SAD LOVE SONGS,53NEfJTEt86ytgk5SaqMjZ,Broken-Hearted Girl,I AM...SASHA FIERCE,Beyoncé,31acMiV67UgKn1ScFChFxo,59,False,0.336,0.424,5,-7.203,1,0.0353,0.503,0.0,0.273,0.159,82.149,277627,4,0
85,sad songs for sad nights ,4yXfnhz0BReoVfwwYRtPBm,Why Not Me?,Euphoria,Enrique Iglesias,1YnRzw2S56QR16zhKZJMiv,51,False,0.715,0.534,7,-6.534,1,0.0414,0.496,0.0,0.117,0.341,99.007,219360,4,0
86,sad songs to scream in the car,0v7ALSB6wNw5uLdis40yKs,Wrong,Wrong,Jan Metternich,67ItCIEIfqBXzy6iWwGuhG,49,False,0.651,0.224,0,-17.877,1,0.128,0.365,0.0482,0.0756,0.119,167.953,127143,4,0
87,sad songs to cry to at 2am,38BAFacbwA5kGf7iqcW7Wj,Ghost,Ghost,Roderick Porter,2H1sgUFwjdgg6pReGJTGP1,5,False,0.673,0.376,11,-14.029,1,0.0407,0.691,0.543,0.45,0.337,118.035,166625,4,0
88,Sad Songs 😢 ,7ABD15iASBIpPP5uJ5awvq,All the Pretty Girls,A/B,KALEO,0QQIhT6PtJ5glyn4HKNKQ6,69,False,0.466,0.496,1,-6.606,1,0.0302,0.626,6.22e-06,0.117,0.352,74.747,269893,4,0
89,sad songs :(,0uVeGcLzYnzdIm23yve8K8,Falling,Falling,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,44,False,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4,0
90,sad Korean songs,0oX1LhMuCp3uCJyuNwgLdF,River of Tears,[Time LEAF],Na Yoon Kwon,4nMF9tdujSCqfk5EBFCmRr,13,False,0.296,0.311,4,-6.915,1,0.034,0.684,0.0,0.124,0.233,97.81,235773,5,0
91,sad Korean songs,0oX1LhMuCp3uCJyuNwgLdF,When we were two,When we were two,Urban Zakapa,10sjUVYJO1UHDDxQSODUE2,34,False,0.504,0.486,3,-3.507,1,0.0287,0.572,0.0,0.113,0.138,113.937,198053,3,0
92,sad Korean songs,0oX1LhMuCp3uCJyuNwgLdF,우린 봄이 오기 전에 Before Our Spring,Poet | Artist,JONGHYUN,3bNjjq8KpMx2Y9gpCoJl2u,48,False,0.634,0.246,3,-9.518,1,0.0389,0.902,0.0,0.0939,0.404,103.976,246238,3,0
93,Sad Songs😔,54ozEbxQMa0OeozoSoRvcL,Does Anybody Know,Jade Bird,Jade Bird,6E7MY8plyVrd0RWUDl63Kn,54,False,0.778,0.145,10,-11.95,0,0.0503,0.892,4.4e-06,0.126,0.24,109.071,207936,4,0
94,Sad Songs 😢 ,7ABD15iASBIpPP5uJ5awvq,Cold Arms,Wilder Mind,Mumford & Sons,7kpZ9isu48poYKpaAb0wiR,0,False,0.431,0.144,11,-12.07,1,0.039,0.815,1.1e-06,0.124,0.0491,137.683,169907,4,0
95,SAD LOVE SONGS,53NEfJTEt86ytgk5SaqMjZ,Heaven,BEYONCÉ [Platinum Edition],Beyoncé,0fYwfZcgijhIOyXn0RVPwq,56,False,0.342,0.188,6,-12.688,0,0.033,0.573,0.017,0.108,0.0388,102.601,230893,4,0
96,Sad Songs For The Boys❤️‍🩹💔,5wxOPjYjARkhfaEtD7LItO,Stay,Solace,iamjakehill,1GXuVOHHqIUKgfL9szuGTs,67,True,0.728,0.668,2,-8.386,0,0.143,0.811,0.0,0.117,0.857,82.967,185091,4,0
97,sad indie songs for sad nights,61wCeISpu6SYd6EtLCqPW8,Sleep Thru Ur Alarms,Surrender (2014 - 2017),Lontalius,3Mmt4wAMtWRmObAxbejpPe,68,False,0.612,0.344,11,-14.066,0,0.0269,0.302,0.296,0.115,0.0691,97.479,112864,3,0
98,sad songs,08HldIXYJL4HRRMTIR1fsq,Just You and I,What a Time To Be Alive,Tom Walker,03x2rVJRFUrvwlfxoHd9Mo,66,False,0.567,0.696,9,-5.416,1,0.301,0.456,0.0,0.113,0.544,92.061,174983,4,0
99,Sad songs everyone knows 2021 𓃰,6hh1TCrTpmz4wyinWodLzk,Training Wheels,Cry Baby (Deluxe Edition),Melanie Martinez,3EGW6TGGbdk6Ys1Y3HU3lj,76,True,0.571,0.481,9,-7.179,1,0.0444,0.697,0.0,0.089,0.0807,113.753,205680,4,0
